"Table 2.2: Crop production by Region, 2008",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
No.,Crops,Topic,Western,Central,Greater Accra,Volta,Eastern,Ashanti,Brong Ahafo,Northern,Upper East,Upper West,,,,,,,,,,
1,Cowpea,Area planted (Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,"61,040.0","33,530.0","68,100.0",,,,,,,,,,
2,,Area harvested (Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,"61,040.0","33,530.0","68,100.0",,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,"98,820.0","26,780.0","79,230.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,2.0,1.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 2.4: Crop production by Region, 2010",,,,,,,,,,,,,,,,,,,,,,
No.,Crops,Topic,Western,Central,Greater Accra,Volta,Eastern,Ashanti,Brong Ahafo,Northern,Upper East,Upper West,,,,,,,,,,
1,Maize,Area planted (Ha),"50,720.0","103,070.0","3,638.0","52,070.0","173,050.0","153,451.0","250,950.0","110,430.0","37,920.0","56,370.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"74,191.0","195,394.0","3,584.0","93,887.0","380,505.0","253,374.0","510,172.0","202,316.0","62,256.0","96,018.0",,,,,,,,,,
4,,Yield (Mt/Ha),1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,
1,Millet,Area planted (Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,50290.0,60720.0,65590.0,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,90619.0,64086.0,64247.0,,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,2.0,1.0,1.0,,,,,,,,,,
1,Rice (Paddy),Area planted (Ha),"17,130.0","4,290.0","2,323.0","21,860.0","6,630.0","10,115.0","4,020.0","62,930.0","47,361.0","4,570.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"23,022.0","5,241.0","12,741.0","67,229.0","20,703.0","27,705.0","6,478.0","185,877.0","135,221.0","8,317.0",,,,,,,,,,
4,,Yield (Mt/Ha),1.0,1.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,,,,,,,,,,
1,Sorghum,Area planted (Ha),                       -   ,                         -   ,                    -   ,"4,340.0",                         -   ,                         -   ,400.0,"59,370.0","71,165.0","117,280.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,"4,849.0",                         -   ,                         -   ,425.0,"108,495.0","86,613.0","124,041.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,1.0,                         -   ,                         -   ,1.0,2.0,1.0,1.0,,,,,,,,,,
1,Cassava,Area planted (Ha),"74,450.0","120,310.0","6,834.0","102,410.0","185,650.0","120,219.0","181,230.0","83,910.0",                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"687,350.0","1,914,979.0","68,170.0","1,529,022.0","3,618,825.0","1,842,666.0","2,728,351.0","1,114,723.0",                   -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),9.0,16.0,10.0,15.0,19.0,15.0,15.0,13.0,                   -   ,                   -   ,,,,,,,,,,
1,Cocoyam,Area planted (Ha),"39,410.0","2,450.0",                    -   ,"6,160.0","30,840.0","63,780.0","49,290.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"223,727.0","17,763.0",                    -   ,"45,678.0","250,789.0","405,936.0","334,417.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),6.0,7.0,                    -   ,7.0,8.0,6.0,7.0,                         -   ,                   -   ,                   -   ,,,,,,,,,,
1,Plantain,Area planted (Ha),"58,150.0","17,525.0",                    -   ,"7,980.0","84,400.0","93,153.0","66,760.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"577,065.0","154,759.0",                    -   ,"62,502.0","839,480.0","925,015.0","980,307.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),10.0,9.0,                    -   ,8.0,10.0,10.0,15.0,                         -   ,                   -   ,                   -   ,,,,,,,,,,
1,Yam,Area planted (Ha),"10,555.0","2,817.0",                    -   ,"26,350.0","39,150.0","33,450.0","129,120.0","117,810.0",                   -   ,"25,690.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"75,164.0","15,815.0",                    -   ,"374,610.0","712,890.0","466,127.0","2,318,158.0","1,476,369.0",                   -   ,"521,443.0",,,,,,,,,,
4,,Yield (Mt/Ha),7.0,6.0,                    -   ,14.0,18.0,14.0,18.0,13.0,                   -   ,20.0,,,,,,,,,,
1,Soya Bean,Area planted (Ha),                       -   ,                         -   ,                    -   ,"4,360.0",                         -   ,                         -   ,                         -   ,"49,950.0","6,940.0","14,970.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,"4,945.0",                         -   ,                         -   ,                         -   ,"98,398.0","20,364.0","21,219.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,1.0,                         -   ,                         -   ,                         -   ,2.0,3.0,1.0,,,,,,,,,,
1,Groundnut,Area planted (Ha),                       -   ,                         -   ,                    -   ,                         -   ,"8,216.0","6,190.0","11,420.0","49,950.0","6,940.0","14,970.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,                         -   ,"9,859.0","8,762.0","14,132.0","227,650.0","73,808.0","196,676.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,                         -   ,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,
1,Cowpea,Area planted (Ha),                       -   ,                         -   ,                    -   ,"1,920.0","1,930.0","8,123.0","7,690.0","56,160.0","29,403.0","64,720.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,"1,224.0","1,404.0","4,727.0","7,293.0","105,841.0","22,801.0","75,969.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 2.5: Crop production by Region, 2011",,,,,,,,,,,,,,,,,,,,,,
No.,Crops,Topic, Western , Central , Greater Accra , Volta , Eastern , Ashanti , Brong Ahafo , Northern , Upper East , Upper West ,,,,,,,,,,
1,Maize,Area planted (Ha),50120.0,104601.0,3931.0,53923.0,174573.0,153936.0,236651.0,134723.0,43370.0,67350.0,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,56134.0,202362.0,4461.0,97857.0,364166.0,173735.0,434741.0,192604.0,75273.0,82651.0,,,,,,,,,,
4,,Yield (Mt/Ha),1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,
1,Millet,Area planted (Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,54670.00,60100.00,63906.00,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,79074.00,50521.00,54327.00,,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,1.00,1.00,1.00,,,,,,,,,,
1,Rice (Paddy),Area planted (Ha),"17,410.0","4,328.0","2,909.0","22,759.0","6,655.0","10,281.0","3,840.0","73,389.0","51,080.0","4,829.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"21,066.0","5,366.0","18,773.0","75,389.0","22,320.0","27,625.0","6,160.0","171,293.0","109,455.0","6,527.0",,,,,,,,,,
4,,Yield (Mt/Ha),1.0,1.0,6.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,,,
1,Sorghum,Area planted (Ha),                       -   ,                         -   ,                    -   ,"4,404.0",                         -   ,                         -   ,630.0,"70,780.0","66,230.0","101,439.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,"5,345.0",                         -   ,                         -   ,708.0,"130,634.0","69,545.0","80,836.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,1.0,                         -   ,                         -   ,1.0,2.0,1.0,1.0,,,,,,,,,,
1,Cassava,Area planted (Ha),"73,250.0","122,275.0","6,742.0","105,169.0","186,165.0","121,541.0","184,903.0","89,320.0",                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"556,700.0","1,976,946.0","71,863.0","1,660,007.0","3,858,149.0","1,900,444.0","2,883,353.0","1,333,406.0",                   -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),8.0,16.0,11.0,16.0,21.0,16.0,16.0,15.0,                   -   ,                   -   ,,,,,,,,,,
1,Cocoyam,Area planted (Ha),"37,810.0","15,944.0",                    -   ,"6,268.0","31,018.0","64,109.0","49,214.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"185,269.0","94,347.0",                    -   ,"49,278.0","253,441.0","385,437.0","331,873.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),5.0,6.0,                    -   ,8.0,8.0,6.0,7.0,                         -   ,                   -   ,                   -   ,,,,,,,,,,
1,Plantain,Area planted (Ha),"56,850.0","17,862.0",                    -   ,"7,899.0","84,768.0","96,216.0","72,901.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"510,513.0","159,262.0",                    -   ,"62,555.0","854,240.0","977,432.0","1,055,832.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),9.0,9.0,                    -   ,8.0,10.0,10.0,14.0,                         -   ,                   -   ,                   -   ,,,,,,,,,,
1,Yam,Area planted (Ha),"10,150.0","2,818.0",                    -   ,"27,356.0","39,209.0","33,938.0","125,473.0","138,553.0",                   -   ,"26,302.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"56,134.0","15,712.0",                    -   ,"426,751.0","682,994.0","470,814.0","2,171,341.0","2,005,607.0",                   -   ,"32,184.0",,,,,,,,,,
4,,Yield (Mt/Ha),5.0,6.0,                    -   ,16.0,17.0,14.0,17.0,14.0,                   -   ,18.0,,,,,,,,,,
1,Soya Bean,Area planted (Ha),                       -   ,                         -   ,                    -   ,"4,337.0",                         -   ,                         -   ,                         -   ,"60,431.0","5,540.0","15,630.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,"5,001.0",                         -   ,                         -   ,                         -   ,"126,656.0","15,117.0","17,736.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,1.0,                         -   ,                         -   ,                         -   ,2.0,3.0,1.0,,,,,,,,,,
1,Groundnut,Area planted (Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,"6,262.0","11,722.0","130,352.0","75,840.0","132,605.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,"8,143.0","13,695.0","224,476.0","56,524.0","162,265.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,
1,Cowpea,Area planted (Ha),                       -   ,                         -   ,                    -   ,"1,973.0",                         -   ,"8,213.0","7,690.0","62,544.0","25,880.0","75,956.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,"1,385.0",                         -   ,"2,387.0","7,280.0","124,720.0","15,910.0","84,996.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,1.0,                         -   ,0.0,1.0,2.0,1.0,1.0,,,,,,,,,,
"Table 2.6: Crop production by Region, 2012",,,,,,,,,,,,,,,,,,,,,,
